EXPEDIENTE,DATETIME,CALLE,NUMERO,DISTRITO,TIPOACCIDENTE,TIEMPO,TIPOVEHICULO,VICTIMA,TIPOPERSONA,RANGOEDAD,SEXO,LESIVIDAD
2021S006603,2021-04-21T18:40:00Z,"Avenida de la Ciudad de Barcelona, Madrid",202,Retiro,Atropello a persona,Nublado,Bicicleta,10198,Peatón,De 65 a 69 años,Mujer,7
2021S006667,2021-04-22T19:50:00Z,Paseo de la Ermita del Santo,40,Latina,Caída,Lluvia débil,Bicicleta,10199,Conductor,De 21 a 24 años,Mujer,7
2021S006803,2021-04-24T17:40:00Z,CALLE JOSE PAULETE,5,Puente de Vallecas,Caída,Despejado,Bicicleta,10202,Conductor,De 25 a 29 años,Mujer,2
2021S006807,2021-04-22T17:12:00Z,Madrid Río,+00500E,Carabanchel,Caída,Lluvia débil,Bicicleta,10203,Conductor,De 25 a 29 años,Hombre,
2021S006807,2021-04-22T17:12:00Z,Madrid Río,+00500E,Carabanchel,Caída,Lluvia débil,Bicicleta,10204,Conductor,De 35 a 39 años,Mujer,
2021S006873,2021-04-24T22:47:00Z,"Paseo de las Acacias, Madrid",41,Arganzuela,Colisión múltiple,LLuvia intensa,Bicicleta,10206,Conductor,De 25 a 29 años,Hombre,7
2021S006876,2021-04-24T11:15:00Z,RONDA DE LA COMUNICACION,0,Fuencarral-El Pardo,Colisión fronto-lateral,Despejado,Bicicleta,10207,Conductor,De 45 a 49 años,Mujer,14
2021S006876,2021-04-24T11:15:00Z,RONDA DE LA COMUNICACION,0,Fuencarral-El Pardo,Colisión fronto-lateral,Despejado,Bicicleta,10208,Conductor,De 50 a 54 años,Mujer,6
2021S006894,2021-04-25T12:35:00Z,CALLE TINTOREROS,4,Centro,Alcance,Lluvia débil,Bicicleta,10209,Conductor,De 40 a 44 años,Hombre,1
2021S007017,2021-04-26T18:30:00Z,CALLE PLAYA DE LA CALETA,6,Barajas,Colisión fronto-lateral,Despejado,Bicicleta,10212,Conductor,De 10 a 14 años,Hombre,7
2021S007050,2021-04-27T15:05:00Z,CALLE CERILLERAS,4,Carabanchel,Colisión fronto-lateral,Despejado,Bicicleta,10213,Conductor,De 50 a 54 años,Hombre,7
2021S007058,2021-04-27T15:30:00Z,avenida de los Poblados,94,Carabanchel,Colisión lateral,Despejado,Bicicleta,10214,Conductor,De 15 a 17 años,Hombre,2
2021S007136,2021-04-28T19:10:00Z,CALLE CARLOS MARTIN ALVAREZ,2,Puente de Vallecas,Caída,Despejado,Bicicleta,10216,Conductor,De 25 a 29 años,Mujer,7
