tipo_elem,distrito,id,id_cruce,fecha_inst,longitud,latitud
SEMAFORO 2/200 PEATON - BICI,8,44310,1640,2000-06-28T00:00:00Z,-3.7230809169993,40.4915366536576
SEMAFORO 2/200 PEATON - BICI,8,44309,1640,2000-06-28T00:00:00Z,-3.72302756513277,40.4915624168333
SEMAFORO 2/200 PEATON - BICI,8,46300,1818,2004-02-08T00:00:00Z,-3.66737217862166,40.5114554446834
SEMAFORO 2/200 PEATON - BICI,8,46301,1818,2004-02-08T00:00:00Z,-3.66713506731509,40.5111326332295
SEMAFORO 2/200 PEATON - BICI,8,46302,1818,2004-02-08T00:00:00Z,-3.66705946461972,40.5110803411043
SEMAFORO 2/200 PEATON - BICI,8,46303,1818,2004-02-08T00:00:00Z,-3.66697120796839,40.5110185174469
SEMAFORO 2/200 PEATON - BICI,8,46304,1818,2004-02-08T00:00:00Z,-3.66689020547838,40.5109615468056
SEMAFORO 2/200 PEATON - BICI,8,46299,1818,2004-02-08T00:00:00Z,-3.6672861393736,40.5115560903281
SEMAFORO 2/200 PEATON - BICI,8,46306,1818,2004-02-08T00:00:00Z,-3.66632165418312,40.5108988125337
SEMAFORO 2/200 PEATON - BICI,8,46193,1832,2004-02-08T00:00:00Z,-3.66151066973826,40.5024318596649
SEMAFORO 2/200 PEATON - BICI,8,46194,1832,2004-02-08T00:00:00Z,-3.66154710147078,40.5023738880184
SEMAFORO 2/200 PEATON - BICI,8,223,2025,2021-02-03T00:00:00Z,-3.69711632465344,40.5074483508733
SEMAFORO 2/200 PEATON - BICI,8,224,2025,2007-09-17T00:00:00Z,-3.69699058693999,40.5073889977967
SEMAFORO 2/200 PEATON - BICI,8,227,2026,2007-09-17T00:00:00Z,-3.69583596443391,40.5068348764524
SEMAFORO 2/200 PEATON - BICI,8,228,2026,2007-09-17T00:00:00Z,-3.69576018290713,40.5067962130616
SEMAFORO 2/200 PEATON - BICI,8,225,2027,2007-09-17T00:00:00Z,-3.69480854152804,40.5063358873277
SEMAFORO 2/200 PEATON - BICI,8,226,2027,2007-09-17T00:00:00Z,-3.6947302377334,40.5062968676614
SEMAFORO 2/200 PEATON - BICI,8,48299,2028,2007-09-17T00:00:00Z,-3.69363085722356,40.5057629592015
SEMAFORO 2/200 PEATON - BICI,8,48300,2028,2007-09-17T00:00:00Z,-3.69350624279797,40.5057011393508
SEMAFORO 2/200 PEATON - BICI,8,44299,2024,2021-02-15T00:00:00Z,-3.73344448959377,40.4851480492226
SEMAFORO 2/200 PEATON - BICI,8,44300,2024,2007-09-17T00:00:00Z,-3.73350901239027,40.4850694526237
SEMAFORO 2/200 PEATON - BICI,8,48178,2050,2008-06-13T00:00:00Z,-3.73594161081257,40.4845274600004
SEMAFORO 2/200 PEATON - BICI,8,48177,2050,2008-06-13T00:00:00Z,-3.73607841388793,40.4845245829637
SEMAFORO 2/200 PEATON - BICI,8,48298,2029,2007-09-17T00:00:00Z,-3.73860245678068,40.4799394890279
SEMAFORO 2/200 PEATON - BICI,8,46691,2053,2008-09-07T00:00:00Z,-3.7138985715285,40.5032936920599
SEMAFORO 2/200 PEATON - BICI,8,46692,2053,2008-09-07T00:00:00Z,-3.71388114890688,40.50334975119
SEMAFORO 2/200 PEATON - BICI,8,54282,2238,2018-04-25T00:00:00Z,-3.72560437269353,40.4931471086975
SEMAFORO 2/200 PEATON - BICI,8,54283,2238,2018-04-25T00:00:00Z,-3.72550718104244,40.4932330188443
SEMAFORO 2/200 PEATON - BICI,8,51853,843,2015-10-29T00:00:00Z,-3.74080105146811,40.4766314290418
SEMAFORO 2/200 PEATON - BICI,8,44355,843,2015-10-29T00:00:00Z,-3.74077261732455,40.4767411952195
SEMAFORO 2/200 PEATON - BICI,8,44354,843,2015-10-29T00:00:00Z,-3.74075337555857,40.4768451156216
SEMAFORO 2/200 PEATON - BICI,8,51854,843,2015-10-29T00:00:00Z,-3.74079178870675,40.4766526946604
SEMAFORO 2/200 PEATON - BICI,9,35870,195,1966-01-10T00:00:00Z,-3.72585584050691,40.4397558833963
SEMAFORO 2/200 PEATON - BICI,9,56383,418,2020-11-19T00:00:00Z,-3.7266599903293,40.4418159006559
SEMAFORO 2/200 PEATON - BICI,9,56385,418,2020-11-19T00:00:00Z,-3.72665354585413,40.4417841617959
SEMAFORO 2/200 PEATON - BICI,9,35869,195,1966-01-10T00:00:00Z,-3.72588387590808,40.4398378621555
SEMAFORO 2/200 PEATON - BICI,9,54585,573,1973-08-06T00:00:00Z,-3.7368401718298,40.4341538635182
SEMAFORO 2/200 PEATON - BICI,9,54584,573,1973-08-06T00:00:00Z,-3.73684841968802,40.4341121094369
SEMAFORO 2/200 PEATON - BICI,9,29371,100,1962-02-27T00:00:00Z,-3.71160459272259,40.4243103023043
SEMAFORO 2/200 PEATON - BICI,9,56903,4588,,-3.71411146712574,40.4214123452455
SEMAFORO 2/200 PEATON - BICI,9,35833,387,2020-09-01T00:00:00Z,-3.72933355501682,40.4562613661202
SEMAFORO 2/200 PEATON - BICI,9,35832,387,2020-09-01T00:00:00Z,-3.72939965814741,40.4562733903199
SEMAFORO 2/200 PEATON - BICI,9,35831,387,2020-09-01T00:00:00Z,-3.72952866060865,40.4562669921686
SEMAFORO 2/200 PEATON - BICI,9,35830,387,2020-09-01T00:00:00Z,-3.7295683570932,40.4562448776323
SEMAFORO 2/200 PEATON - BICI,9,35847,1439,2019-12-24T00:00:00Z,-3.72742251279151,40.445951830898
