num_expediente;fecha;hora;localizacion;numero;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;victima;tipo_persona;rango_edad;sexo;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S002721;24/02/2021;17:55:00;CALL. BRAVO MURILLO, 175;175;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta;10070;Conductor;De 21 a 24 años;Mujer;NULL;440370,92;4478293,62;N;NULL
2021S002806;19/02/2021;14:30:00;CALL. MORALZARZAL, 61, PISTAS DEPORTIVAS;61;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;10071;Conductor;De 10 a 14 años;Hombre;2;439619,86;4482804,54;N;NULL
2021S002807;26/02/2021;14:15:00;AVDA. ENTREVIAS / CALL. MENDEZ ALVARO;2;PUENTE DE VALLECAS;Colisión lateral;Despejado;Bicicleta;10072;Conductor;De 21 a 24 años;Hombre;7;442938,04;4471234;N;NULL
2021S002810;19/02/2021;18:10:00;CALL. SANDALIA NAVAS, 17;17;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;10073;Conductor;De 15 a 17 años;Hombre;2;438225,8;4481397,33;N;NULL
2021S002812;26/02/2021;14:45:00;CALL. RIBERA DE CURTIDORES, 25;25;CENTRO;Caída;Despejado;Bicicleta;10074;Conductor;De 30 a 34 años;Hombre;6;439995,99;4473299,14;N;NULL
2021S002817;26/02/2021;19:29:00;CALL. HORTALEZA, 100;100;CENTRO;Colisión lateral;Se desconoce;Bicicleta;10075;Conductor;De 30 a 34 años;Hombre;7;440803,6;4475143,5;N;NULL
2021S002855;26/02/2021;6:25:00;CALL. GENERAL RICARDOS / CALL. FRANCISCO ROMERO;2;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;10076;Conductor;De 35 a 39 años;Mujer;5;439186,41;4472124,99;N;NULL
2021S002879;27/02/2021;11:55:00;CALL. SEGOVIA, 8;8;CENTRO;Caída;Despejado;Bicicleta;10077;Conductor;De 60 a 64 años;Hombre;1;439723,33;4473904,05;N;NULL
2021S002908;27/02/2021;19:15:00;PASEO. EMBARCADERO, 1;1;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;10078;Conductor;De 30 a 34 años;Hombre;6;438498,11;4474461,12;N;NULL
2021S002961;28/02/2021;11:30:00;CALL. ALCALA, 29;29;CENTRO;Colisión lateral;Despejado;Bicicleta;10079;Conductor;De 70 a 74 años;Hombre;7;440746,84;4474429,63;N;NULL
