distrito,id,descripcion,fecha_inst,longitud,latitud
8,703,HERRERA ORIA - NTRA. SRA. VALVERDE - LLANOS C.,1976-07-25T00:00:00Z,-3.6862080076053,40.4910390167602
8,1828,CNO. DE SANTIAGO - VALCARLOS,2004-02-08T00:00:00Z,-3.67387516461052,40.4971508733921
8,1803,QUINTANAVIDES - FORESTA,2004-01-04T00:00:00Z,-3.66882733717176,40.4981388432742
8,1804,PUERTO SOMPORT - FORESTA,2004-01-04T00:00:00Z,-3.67131854089095,40.4957531022351
5,853,MAURICIO LEGENDRE - EMT SALIDA,1978-01-01T00:00:00Z,-3.68345295243275,40.4802243399735
5,779,MAURICIO LEGENDRE - MANUEL CALDEIRO,1978-01-01T00:00:00Z,-3.68418126909119,40.4763355350722
5,698,MAURICIO LEGENDRE - VASCONCELOS,1976-07-15T00:00:00Z,-3.68615994614782,40.4709750016232
5,1602,LOPEZ HOYOS 169 - P.P.,1999-11-11T00:00:00Z,-3.66539133533271,40.4500529836468
12,1978,ESTAFETA - MEZQUITA,2006-11-17T00:00:00Z,-3.69238432506378,40.3735864616096
4,786,JOSE ORTEGA GASSET - MONTESA,1978-01-01T00:00:00Z,-3.6721968760345,40.4297446363969
8,4629,AV. MONASTERIO DE EL ESCORIAL - MONASTERIO CAAVEIRO,2021-07-14T00:00:00Z,-3.69722360252245,40.5052986271493
8,4630,AV. MONASTERIO SILOS - MONASTERIO SAMOS,2021-05-31T00:00:00Z,-3.6952358278432,40.5057586723532
8,1823,CNO. DE SANTIAGO - SAN MILLAN DE LA COGOLLA,2004-02-08T00:00:00Z,-3.67269089381851,40.5061331001096
8,1826,CNO. DE SANTIAGO - PUENTE DE LA REINA,2004-02-08T00:00:00Z,-3.67394471830422,40.5021146164928
