"tipo_elem";"distrito";"id";"id_cruce";"fecha_inst";"utm_x";"utm_y";"longitud";"latitud"
"SEMAFORO 2/200 PEATON - BICI";16;36195;2032;"2007-10-19 00:00:00";445103.410622955;4482684.33244835;-3.64780169504189;40.4930457188666
"SEMAFORO 2/200 PEATON - BICI";16;36196;2032;"2007-10-19 00:00:00";445094.229403867;4482678.09925294;-3.64790949042176;40.4929889600954
"SEMAFORO 2/200 PEATON - BICI";16;36201;1933;"2006-03-01 00:00:00";444048.582167938;4482559.22240834;-3.66023726849801;40.4918482356346
"SEMAFORO 2/200 PEATON - BICI";16;36202;1933;"2006-03-01 00:00:00";444051.541848865;4482556.71799334;-3.66020212479399;40.4918258742777
"SEMAFORO 2/200 PEATON - BICI";16;36203;1933;"2006-03-01 00:00:00";444055.827389854;4482541.21332481;-3.66015018902332;40.4916864903262
"SEMAFORO 2/200 PEATON - BICI";16;36152;1931;"2006-03-01 00:00:00";444532.199654521;4483204.89933809;-3.65458737097769;40.4976972375233
"SEMAFORO 2/200 PEATON - BICI";16;48147;1781;"2004-04-28 00:00:00";444143.010870548;4482025.02505354;-3.65907598100031;40.4870423101536
"SEMAFORO 2/200 PEATON - BICI";16;48148;1781;"2004-04-28 00:00:00";444145.175832812;4482023.33460465;-3.65905028850146;40.487027227502
"SEMAFORO 2/200 PEATON - BICI";16;48149;1781;"2004-04-28 00:00:00";444150.443011677;4482016.9712478;-3.65898758246176;40.4869702579162
"SEMAFORO 2/200 PEATON - BICI";16;48152;1781;"2004-04-28 00:00:00";444159.298552047;4482005.02972943;-3.65888204752472;40.4868632791057
"SEMAFORO 2/200 PEATON - BICI";16;48153;1781;"2004-04-28 00:00:00";444148.477149327;4481986.18998087;-3.65900806461019;40.4866928342967
"SEMAFORO 2/200 PEATON - BICI";16;48154;1781;"2004-04-28 00:00:00";444143.468386978;4481981.90418169;-3.65906678304609;40.4866538889207
"SEMAFORO 2/200 PEATON - BICI";16;48155;1930;"2006-03-01 00:00:00";444754.972606041;4481986.00272164;-3.65185227725271;40.4867317287839
"SEMAFORO 2/200 PEATON - BICI";16;48156;1930;"2006-03-01 00:00:00";444758.762106363;4481983.76716427;-3.65180737174312;40.4867118420256
"SEMAFORO 2/200 PEATON - BICI";16;48157;1930;"2006-03-01 00:00:00";444780.728510428;4481993.24238;-3.65154902513288;40.4867986605047
"SEMAFORO 2/200 PEATON - BICI";16;48158;1930;"2006-03-01 00:00:00";444788.131318173;4481987.66288753;-3.65146119650636;40.486748890241
"SEMAFORO 2/200 PEATON - BICI";16;48159;1930;"2006-03-01 00:00:00";444824.353156486;4481995.07673941;-3.65103447586;40.4868180858148
"SEMAFORO 2/200 PEATON - BICI";16;48160;1930;"2006-03-01 00:00:00";444828.628678246;4482004.99008734;-3.65098489362055;40.4869076739635
