id_local,desc_distrito_local,desc_barrio_local,direccion,id_direccion,Cod_Postal,coordenada_x_local,id_coordenadas,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
270379563,LATINA,LAS-AGUILAS,7 CALLE GUAREÑA,7_CALLE_GUAREÑA,28044,"435028,62","435028,62-4471061,57","4471061,57",Abierto,MONTON SANZ CAFETERIA RESTAURANTE,Anual,Abierta,"36,61","36,61",Acera,8:00:00,0:00:00,8:00:00,0:00:00,8:00:00,0:30:00,8:00:00,0:30:00,12,0
270243228,LATINA,PUERTA-DEL-ANGEL,13 CALLE HUERTA DE CASTAÑEDA,13_CALLE_HUERTA_DE_CASTAÑEDA,28011,"437085,61","437085,61-4473254,55","4473254,55",Abierto,AUPA BAR,Estacional,Abierta,"13,67",,Acera,10:00:00,0:00:00,,,10:00:00,0:00:00,,,4,
270074139,SALAMANCA,GOYA,8 CALLE ANTONIA MERCE,8_CALLE_ANTONIA_MERCE,28009,"442929,58","442929,58-4475090,5","4475090,5",Abierto,EL BARRIL,Anual,Abierta,"36,2","36,2",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,11,11
270130826,FUENCARRAL-EL-PARDO,LA-PAZ,22 CALLE GINZO DE LIMIA,22_CALLE_GINZO_DE_LIMIA,28029,"440403,62","440403,62-4480965,55","4480965,55",Abierto,BAHIA,Anual,Abierta,"17,55","17,55",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,5,5
280048679,FUENCARRAL-EL-PARDO,VALVERDE,10 CALLE SAN JUAN DE ORTEGA,10_CALLE_SAN_JUAN_DE_ORTEGA,28050,"443085,62","443085,62-4483719,52","4483719,52",Abierto,RESTAURANTE LA DEHESA IV,Anual,Abierta,39,39,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,16,16
285016512,FUENCARRAL-EL-PARDO,MIRASIERRA,20 AVENIDA MONASTERIO DE SILOS,20_AVENIDA_MONASTERIO_DE_SILOS,28049,"439962,64","439962,64-4483882,56","4483882,56",Abierto,TABERNA COCINARTE,Anual,Abierta,"22,5","22,5",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,8,8
285032275,VILLA-DE-VALLECAS,SANTA-EUGENIA,3 AVENIDA SANTA EUGENIA,3_AVENIDA_SANTA_EUGENIA,28031,"448332,53","448332,53-4470788,41","4470788,41",Abierto,LA MURALLA,Estacional,Abierta,"38,88",,Bulevar,10:00:00,1:00:00,,,10:00:00,2:30:00,,,10,
270532715,CIUDAD-LINEAL,SAN-JUAN-BAUTISTA,5 CALLE TORRECILLA DEL PUERTO,5_CALLE_TORRECILLA_DEL_PUERTO,28043,"444910,58","444910,58-4478032,48","4478032,48",Abierto,LOS QUESOS DE L`AMELIE,Estacional,Abierta,"54,96",,Acera,10:00:00,1:00:00,,,10:00:00,1:30:00,,,10,
280045385,MONCLOA-ARAVACA,CASA-DE-CAMPO,18 PASEO FLORIDA,18_PASEO_FLORIDA,28008,"438617,61","438617,61-4475016,55","4475016,55",Abierto,VINUBAR,Anual,Abierta,"20,32","20,32",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,4,4
20000108,ARGANZUELA,PALOS-DE-MOGUER,10 CALLE ANCORA,10_CALLE_ANCORA,28045,"441231,58","441231,58-4472695,52","4472695,52",Abierto,BAR JUANITO,Anual,Abierta,"68,12","68,12",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,23,23
