ID;Date;Address;Number;District;AccidentType;Weather;Lesividad
0e7ee3e1697767dcb1c9e88a615110ce;2021-05-10;CTRA. GARABITAS;0;MONCLOA-ARAVACA;Caída;LLuvia intensa;
efe8820e729f2453a7e1c23e74cc577a;2021-04-10;AVDA. MIGUEL DELIBES / CALL. ALTO DEL ESPARRAGAL;-;VICÁLVARO;Otro;Nublado;1
a0f4918e30b4d25edc52b62430371954;2021-04-11;CALL. VALVERDE / CALL. PUEBLA;-;CENTRO;Alcance;Nublado;6
2097225599e59f280a65874fb9671a8d;2021-04-11;CALL. PRINCIPE DE VERGARA;262;CHAMARTÍN;Alcance;Despejado;14
7f4641ea6c4d83d7dd5141af999253c3;2021-04-12;CALL. JACINTO VERDAGUER / CALL. ANTONIO DE LEYVA;-;CARABANCHEL;Colisión frontal;Despejado;2
b7c4663a4a0950da5cdb39177b79e4cd;2021-04-12;AVDA. LOS ROSALES;408;VILLAVERDE;Caída;Despejado;2
c31f6ee6bca7e2f5b18f64a69e6728c5;2021-04-12;AVDA. LOS ROSALES;408;VILLAVERDE;Caída;Despejado;14
218ac95c5fd7ac541505b819cda30977;2021-04-12;CALL. PADRE LLANOS / AVDA. ENTREVIAS;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;7
80bf5868f6c49962a2444d335f456ca4;2021-04-12;AVDA. CIUDAD DE BARCELONA / CALL. CATALINA SUAREZ;-;RETIRO;Atropello a persona;Despejado;14
cb3eede8a5359390d51f6d9a3f448c44;2021-04-12;AVDA. CIUDAD DE BARCELONA / CALL. CATALINA SUAREZ;-;RETIRO;Atropello a persona;Despejado;1
5447d26701ef3095b0adcd6b28c7c708;2021-04-13;CALL. GUZMAN EL BUENO / CALL. FERNANDEZ DE LOS RIOS;-;CHAMBERÍ;Colisión lateral;Despejado;1
40e889e9ca5a79567a5f4c1b5a94a6cc;2021-04-13;CALL. GRAN VIA;56;CENTRO;Caída;Lluvia débil;
938758a2cb55ac17047cd413092b7499;2021-04-14;CALL. MARQUES DE URQUIJO;30;MONCLOA-ARAVACA;Alcance;Despejado;7
8bbb2e3767ee9f509c9c19dd5418b2d4;2021-04-14;CALL. CONVENIO;41;PUENTE DE VALLECAS;Alcance;Despejado;7
50cd3560880047688b3003cf59a7f448;2021-04-15;PLAZA. DUQUE DE PASTRANA / CALL. SANTA MAGDALENA SOFIA;-;CHAMARTÍN;Caída;Lluvia débil;1
e9765f866762a2602501b30608552b07;2021-04-15;CALL. FINISTERRE;29;FUENCARRAL-EL PARDO;Alcance;;1
b71b6eabd3814371f71939929e67fe5b;2021-04-16;CALL. ALBERTO AGUILERA;18;CHAMBERÍ;Colisión lateral;Despejado;7
f0ce7e002735f82da61dcd89634ab70a;2021-04-21;AVDA. CIUDAD DE BARCELONA;202;RETIRO;Atropello a persona;Nublado;14
555376374c11c7baf315d0719e6d4dbf;2021-04-21;AVDA. CIUDAD DE BARCELONA;202;RETIRO;Atropello a persona;Nublado;7
f55b4e470a1cd410fcbd7ccc6a3ec28f;2021-04-21;MADRID RIO - PUENTE DEL REY;-;MONCLOA-ARAVACA;Caída;Despejado;1
073b28339d80b710103736e1e84627ea;2021-04-22;PASEO. ERMITA DEL SANTO;40;LATINA;Caída;Lluvia débil;7
d610d21f1417d588f4f257ecfccddda8;2021-04-22;PQUE. MADRID RIO, +00500E;-;CARABANCHEL;Caída;Lluvia débil;
df29beeef6ed5fa0088ed7e72025b8e0;2021-04-22;PQUE. MADRID RIO, +00500E;-;CARABANCHEL;Caída;Lluvia débil;
58298bfeedc1d6c8966f8effe008cd86;2021-04-23;CALL. FRANCISCO LARGO CABALLERO / AVDA. INSTITUCION LIBRE DE ENSEÑANZA;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;3
074b582806c0ba8dd9d9aefb3b3bf11f;2021-04-23;CALL. GAZTAMBIDE;23;CHAMBERÍ;Caída;Despejado;2
22f50f0000b48ea214a320a8b779329a;2021-04-25;CALL. SERRANO;44;SALAMANCA;Caída;Lluvia débil;7
96a084fa2832c647e3530aa8d785105f;2021-04-25;PASEO. ACACIAS / CALL. NOGALES;-;ARGANZUELA;Colisión múltiple;LLuvia intensa;7
ab51f8a0d2198510a37bae8524e11695;2021-04-25;PASEO. REY;22;MONCLOA-ARAVACA;Atropello a persona;LLuvia intensa;
c8ae60aa9f7038bd954546e513efadfe;2021-04-25;PASEO. REY;22;MONCLOA-ARAVACA;Atropello a persona;LLuvia intensa;14
deb8b986e18e18754487b9935e364117;2021-04-25;PASEO. MARCELINO CAMACHO / CALL. GENERAL RICARDOS;-;CARABANCHEL;Colisión fronto-lateral;;
ffc3b2d35a2fa8a882205c9b12b4b32c;2021-04-25;PASEO. MARCELINO CAMACHO / CALL. GENERAL RICARDOS;-;CARABANCHEL;Colisión fronto-lateral;;
461f75ca198d61a690ad1638840ccd1e;2021-04-24;CALL. JOSE PAULETE;5;PUENTE DE VALLECAS;Caída;Despejado;2
92e3e87ba7593065e275140fe373e1e1;2021-04-24;METRO. RONDA DE LA COMUNICACION;0;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;6
1578738bf147a3007679e65e67c53dc3;2021-04-24;METRO. RONDA DE LA COMUNICACION;0;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;14
ace988f6e5bc55532a7b1a146d38d40e;2021-04-25;CALL. TINTOREROS -C/ CUCHILLEROS Y PUERTA CERRADA;-;CENTRO;Alcance;Lluvia débil;1
52f91ef1960b418636028d7488357362;2021-04-26;CALL. PLAYA DE LA CALETA / CALL. VALHONDO;-;BARAJAS;Colisión fronto-lateral;Despejado;7
3312a854a257175c24d04d9304abe958;2021-04-26;PASEO. PRADO;48;CENTRO;Colisión lateral;Despejado;6
1ba0da4557a14ec693fcf7bfa992f31b;2021-04-28;CALL. BRAVO MURILLO;137;TETUÁN;Alcance;LLuvia intensa;7
fabf4fef76e011adca842ed57798dddc;2021-04-27;CALL. RAIMUNDO FERNANDEZ VILLAVERDE / PASEO. CASTELLANA;-;CHAMBERÍ;Alcance;;14
79222f40f3269c01144bb8d0d4c409f6;2021-04-27;AVDA. POBLADOS / CALL. DOBLA;-;CARABANCHEL;Colisión lateral;Despejado;2
9a598124deea61ee043bad54bb02b5d5;2021-04-27;CALL. CERILLERAS / AVDA. POBLADOS;-;CARABANCHEL;Colisión fronto-lateral;Despejado;7
3b2ab0225ba5e791e2f66d577eddbc80;2021-04-28;CMNO. VIEJO DE VICALVARO / AVDA. DAROCA;-;VICÁLVARO;Caída;Nublado;2
6d0227489ef0065cee61809fd769df4b;2021-04-28;CALL. CARLOS MARTIN ALVAREZ;2;PUENTE DE VALLECAS;Caída;Despejado;7
9f6a03e1f32a197889d99ddb5f76fe95;2021-04-29;CALL. CHIQUINQUIRA;60;HORTALEZA;Caída;Despejado;1
f2581b221bdf47fe217d55c8d0612e16;2021-04-29;CALL. ARTURO SORIA / CUSTA. SAGRADO CORAZON;-;CIUDAD LINEAL;Atropello a persona;Nublado;14
ad9ee98b31933c74199b768b49ad70d5;2021-04-29;CALL. ARTURO SORIA / CUSTA. SAGRADO CORAZON;-;CIUDAD LINEAL;Atropello a persona;Nublado;3
3c1335267a74dbe5464e3da753de84da;2021-04-29;AVDA. PORTUGAL;3;LATINA;Caída;Lluvia débil;7
fb28f67fdefd381f67d0530141a23537;2021-01-05;PLAZA. COLON / PASEO. RECOLETOS;-;CENTRO;Alcance;Despejado;
314aa9c7612bb7b670d5938e2a178c87;2021-04-30;CALL. CONDESA DE VENADITO / CALL. MARTINEZ VILLERGAS;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;3
3891118794f6e027c068bbb1063ee8e8;2021-05-01;AVDA. VALDEMARIN / CMNO. LAVADERO;-;MONCLOA-ARAVACA;Caída;Despejado;6
16247d44a311341fe43a1af77cb73db6;2021-05-02;CALL. DOCTOR ESQUERDO;47;SALAMANCA;Caída;Despejado;1
c874af77498ecab34eb241e2bd813c28;2021-05-02;CALL. AFUERAS A VALVERDE / CALL. ISLA DE RODAS;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;7
81290ebdf0f39494637c736a072201c5;2021-05-02;PQUE. MADRID RIO, SENDA CICLABLE  PK 6.400;-;ARGANZUELA;Caída;Despejado;2
8026cd115935e5c0fb16fea5d166f6a5;2021-05-02;PQUE. MADRID RIO, SENDA CICLABLE  PK 6.400;-;ARGANZUELA;Caída;Despejado;14
74e03ddc83d111335810369fff92761b;2021-05-03;PISTA. CRISTO DE EL PARDO;17;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;2
