ESTACION,MAGNITUD,ANO,MES,DIA,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
57,10,2021,10,03,00011,00016,00009,00007,00005,00005,00005,00005,00004,00004,00008,00006,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
57,12,2021,10,03,00019,00014,00011,00009,00007,00007,00007,00007,00007,00008,00013,00018,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
58,7,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
58,8,2021,10,03,00034,00027,00014,00008,00007,00003,00003,00003,00003,00003,00004,00005,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
58,12,2021,10,03,00036,00029,00016,00010,00008,00004,00004,00005,00005,00005,00006,00006,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
58,14,2021,10,03,29.58,30.68,54.14,55.60,46.66,48.90,48.84,47.50,48.03,47.05,44.96,38.19,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
59,7,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
59,8,2021,10,03,00018,00012,00010,00007,00006,00005,00005,00006,00006,00008,00011,00014,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
59,12,2021,10,03,00019,00014,00011,00008,00007,00007,00006,00008,00007,00010,00012,00015,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
59,14,2021,10,03,71.80,70.59,62.11,48.09,44.30,43.37,44.29,42.70,40.95,37.48,32.66,27.66,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
60,7,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
60,8,2021,10,03,00020,00017,00013,00011,00010,00009,00009,00010,00009,00010,00012,00012,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
60,10,2021,10,03,00011,00007,00008,00013,00008,00005,00002,00004,00004,00008,00008,00010,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
60,12,2021,10,03,00022,00018,00015,00013,00012,00011,00010,00011,00011,00012,00013,00014,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
60,14,2021,10,03,82.51,79.40,71.82,55.61,47.90,46.89,47.49,47.55,46.85,44.27,41.48,37.86,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
