PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,DATE,D01,V01
28,79,17,1,2019-01-01T01:00:00Z,17,V
28,79,17,1,2019-02-01T01:00:00Z,3,V
28,79,17,1,2019-03-01T01:00:00Z,7,V
28,79,17,1,2019-04-01T00:00:00Z,7,V
28,79,17,1,2019-05-01T00:00:00Z,7,V
28,79,17,1,2019-06-01T00:00:00Z,8,V
28,79,17,1,2019-07-01T00:00:00Z,9,V
28,79,17,1,2019-08-01T00:00:00Z,10,V
28,79,17,1,2019-09-01T00:00:00Z,13,V
28,79,17,1,2019-10-01T00:00:00Z,11,V
28,79,17,1,2019-11-01T01:00:00Z,3,V
28,79,17,1,2019-12-01T01:00:00Z,4,V
28,79,17,7,2019-01-01T01:00:00Z,187,V
28,79,17,7,2019-02-01T01:00:00Z,6,V
28,79,17,7,2019-03-01T01:00:00Z,43,V
28,79,17,7,2019-04-01T00:00:00Z,6,V
28,79,17,7,2019-05-01T00:00:00Z,2,V
28,79,17,7,2019-06-01T00:00:00Z,3,V
28,79,17,7,2019-07-01T00:00:00Z,7,V
28,79,17,7,2019-08-01T00:00:00Z,3,V
28,79,17,7,2019-09-01T00:00:00Z,22,V
28,79,17,7,2019-10-01T00:00:00Z,46,V
28,79,17,7,2019-11-01T01:00:00Z,5,V
28,79,17,7,2019-12-01T01:00:00Z,2,V
28,79,17,8,2019-01-01T01:00:00Z,85,V
28,79,17,8,2019-02-01T01:00:00Z,23,V
28,79,17,8,2019-03-01T01:00:00Z,74,V
28,79,17,8,2019-04-01T00:00:00Z,31,V
28,79,17,8,2019-05-01T00:00:00Z,21,V
28,79,17,8,2019-06-01T00:00:00Z,29,V
28,79,17,8,2019-07-01T00:00:00Z,36,V
28,79,17,8,2019-08-01T00:00:00Z,18,V
28,79,17,8,2019-09-01T00:00:00Z,50,V
28,79,17,8,2019-10-01T00:00:00Z,51,V
28,79,17,8,2019-11-01T01:00:00Z,16,V
28,79,17,8,2019-12-01T01:00:00Z,25,V
28,79,17,12,2019-01-01T01:00:00Z,371,V
28,79,17,12,2019-02-01T01:00:00Z,32,V
28,79,17,12,2019-03-01T01:00:00Z,140,V
28,79,17,12,2019-04-01T00:00:00Z,40,V
28,79,17,12,2019-05-01T00:00:00Z,25,V
28,79,17,12,2019-06-01T00:00:00Z,33,V
28,79,17,12,2019-07-01T00:00:00Z,47,V
28,79,17,12,2019-08-01T00:00:00Z,22,V
28,79,17,12,2019-09-01T00:00:00Z,83,V
28,79,17,12,2019-10-01T00:00:00Z,121,V
28,79,17,12,2019-11-01T01:00:00Z,24,V
28,79,17,12,2019-12-01T01:00:00Z,28,V
28,79,17,14,2019-01-01T01:00:00Z,14,V
28,79,17,14,2019-02-01T01:00:00Z,60,V
28,79,17,14,2019-03-01T01:00:00Z,27,V
28,79,17,14,2019-04-01T00:00:00Z,54,V
28,79,17,14,2019-05-01T00:00:00Z,83,V
28,79,17,14,2019-06-01T00:00:00Z,84,V
28,79,17,14,2019-07-01T00:00:00Z,68,V
28,79,17,14,2019-08-01T00:00:00Z,67,V
28,79,17,14,2019-09-01T00:00:00Z,49,V
28,79,17,14,2019-10-01T00:00:00Z,31,V
28,79,17,14,2019-11-01T01:00:00Z,25,V
28,79,17,14,2019-12-01T01:00:00Z,39,V
28,79,18,1,2019-01-01T01:00:00Z,18,V
28,79,18,1,2019-02-01T01:00:00Z,8,V
28,79,18,1,2019-03-01T01:00:00Z,13,V
28,79,18,1,2019-04-01T00:00:00Z,10,V
28,79,18,1,2019-05-01T00:00:00Z,11,V
28,79,18,1,2019-06-01T00:00:00Z,11,V
28,79,18,1,2019-07-01T00:00:00Z,18,N
28,79,18,1,2019-08-01T00:00:00Z,7,V
28,79,18,1,2019-09-01T00:00:00Z,10,V
28,79,18,1,2019-10-01T00:00:00Z,10,V
28,79,18,1,2019-11-01T01:00:00Z,4,V
28,79,18,1,2019-12-01T01:00:00Z,3,V
28,79,18,6,2019-01-01T01:00:00Z,0.9,V
28,79,18,6,2019-02-01T01:00:00Z,0.3,V
28,79,18,6,2019-03-01T01:00:00Z,0.5,V
28,79,18,6,2019-04-01T00:00:00Z,0.4,V
28,79,18,6,2019-05-01T00:00:00Z,0.4,V
28,79,18,6,2019-06-01T00:00:00Z,0.6,V
28,79,18,6,2019-07-01T00:00:00Z,0.6,N
28,79,18,6,2019-08-01T00:00:00Z,0.3,V
28,79,18,6,2019-09-01T00:00:00Z,0.4,V
28,79,18,6,2019-10-01T00:00:00Z,0.4,V
28,79,18,6,2019-11-01T01:00:00Z,0.3,V
28,79,18,6,2019-12-01T01:00:00Z,0.4,V
28,79,18,7,2019-01-01T01:00:00Z,76,V
28,79,18,7,2019-02-01T01:00:00Z,3,V
28,79,18,7,2019-03-01T01:00:00Z,20,V
28,79,18,7,2019-04-01T00:00:00Z,7,V
28,79,18,7,2019-05-01T00:00:00Z,2,V
28,79,18,7,2019-06-01T00:00:00Z,2,V
28,79,18,7,2019-07-01T00:00:00Z,28,N
28,79,18,7,2019-08-01T00:00:00Z,2,V
28,79,18,7,2019-09-01T00:00:00Z,5,V
28,79,18,7,2019-10-01T00:00:00Z,23,V
28,79,18,7,2019-11-01T01:00:00Z,3,V
28,79,18,7,2019-12-01T01:00:00Z,3,V
28,79,18,8,2019-01-01T01:00:00Z,63,V
28,79,18,8,2019-02-01T01:00:00Z,14,V
28,79,18,8,2019-03-01T01:00:00Z,56,V
28,79,18,8,2019-04-01T00:00:00Z,39,V
28,79,18,8,2019-05-01T00:00:00Z,19,V
28,79,18,8,2019-06-01T00:00:00Z,31,V
28,79,18,8,2019-07-01T00:00:00Z,23,N
28,79,18,8,2019-08-01T00:00:00Z,16,V
28,79,18,8,2019-09-01T00:00:00Z,41,V
28,79,18,8,2019-10-01T00:00:00Z,43,V
28,79,18,8,2019-11-01T01:00:00Z,14,V
28,79,18,8,2019-12-01T01:00:00Z,27,V
28,79,18,10,2019-01-01T01:00:00Z,53,N
28,79,18,10,2019-02-01T01:00:00Z,5,V
28,79,18,10,2019-03-01T01:00:00Z,31,V
28,79,18,10,2019-04-01T00:00:00Z,13,V
28,79,18,10,2019-05-01T00:00:00Z,7,V
28,79,18,10,2019-06-01T00:00:00Z,20,V
28,79,18,10,2019-07-01T00:00:00Z,28,V
28,79,18,10,2019-08-01T00:00:00Z,17,V
28,79,18,10,2019-09-01T00:00:00Z,17,V
28,79,18,10,2019-10-01T00:00:00Z,15,V
28,79,18,10,2019-11-01T01:00:00Z,12,V
28,79,18,10,2019-12-01T01:00:00Z,5,V
28,79,18,12,2019-01-01T01:00:00Z,179,V
28,79,18,12,2019-02-01T01:00:00Z,18,V
28,79,18,12,2019-03-01T01:00:00Z,86,V
28,79,18,12,2019-04-01T00:00:00Z,50,V
