Ward_ID,Ward_Name,Same_As_Wikidata_Ward,District_Name,Same_As_Wikidata_District,District_ID,Shape_Leng,Shape_Area
130,Casco Histórico de Vicálvaro,https://wikidata.org/entity/Q16544374,Vicálvaro,https://wikidata.org/entity/Q589403,19,"31101,7474","21494220,32"
37,Valdebernardo,https://wikidata.org/entity/Q43025212,Vicálvaro,https://wikidata.org/entity/Q589403,19,"7086,989581","2555072,515"
35,Valderrivas,https://wikidata.org/entity/Q43025770,Vicálvaro,https://wikidata.org/entity/Q589403,19,"4577,756836","643168,463"
131,El Cañaveral,https://wikidata.org/entity/Q5821309,Vicálvaro,https://wikidata.org/entity/Q589403,19,"15928,20256","10574251,79"
79,Simancas,https://wikidata.org/entity/Q10371626,San Blas,https://wikidata.org/entity/Q2001937,20,"6683,599302","2276342,64"
69,Hellín,https://wikidata.org/entity/Q10294546,San Blas,https://wikidata.org/entity/Q2001937,20,"3989,902796","550556,0793"
63,Amposta,https://wikidata.org/entity/Q11905392,San Blas,https://wikidata.org/entity/Q2001937,20,"3097,460516","370249,9945"
61,Arcos,https://wikidata.org/entity/Q9627876,San Blas,https://wikidata.org/entity/Q2001937,20,"5074,872108","1305194,038"
86,Rosas,https://wikidata.org/entity/Q18880469,San Blas,https://wikidata.org/entity/Q2001937,20,"16073,10844","9296501,191"
88,Rejas,https://wikidata.org/entity/Q10359029,San Blas,https://wikidata.org/entity/Q2001937,20,"13389,64872","5015732,122"
85,Canillejas,https://wikidata.org/entity/Q663013,San Blas,https://wikidata.org/entity/Q2001937,20,"5438,211307","1597706,227"
87,Salvador,https://wikidata.org/entity/Q10367095,San Blas,https://wikidata.org/entity/Q2001937,20,"6577,506379","1880110,04"
101,Alameda de Osuna,https://wikidata.org/entity/Q760737,Barajas,https://wikidata.org/entity/Q807230,21,"6044,942922","1970335,16"
124,Aeropuerto,https://wikidata.org/entity/Q9586697,Barajas,https://wikidata.org/entity/Q807230,21,"28744,09551","29626078,71"
112,Casco Histórico de Barajas,https://wikidata.org/entity/Q9701730,Barajas,https://wikidata.org/entity/Q807230,21,"3388,647571","549393,8312"
123,Timón,https://wikidata.org/entity/Q10382570,Barajas,https://wikidata.org/entity/Q807230,21,"11840,04489","5094466,328"
107,Corralejos,https://wikidata.org/entity/Q10260772,Barajas,https://wikidata.org/entity/Q807230,21,"9726,95075","4682537,436"
