Bus_ID,BusStation_Name,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District,X,Y,Bus_Lines
2140,AQUITANIA-CAPRI,Calle,de,Aquitania,N,7,28032,20,447452,4474522,"106, 140, E2, N7, SE723"
2141,AV.ANDALUCIA-AV.MARCONI,Avda,de,Marconi,N,1,28021,17,441248,4465255,79
2142,VALMOJADO-ILLESCAS,Calle,de,Valmojado,N,121,28024,10,435744,4471774,121
2143,EXPROPIACION-AV.POBLADOS,Calle,de la,Expropiación,N,1,28041,12,440297,4469359,81
2144,AV.POBLADOS-DR.TOLOSA LATOUR,Avda,de los,Poblados,N,150,28041,12,440454,4469403,"81, 121, N15"
2145,VALMOJADO-ILLESCAS,Calle,de,Valmojado,N,121,28047,10,435761,4471769,
2146,CASATEJADA-CAMINO DE LAS CRUCES,Calle,de,Casatejada,N,4,28044,11,435421,4469015,"35, N17"
2147,"AVDA DE PÍO XII,92",Avda,de,Pío XII,N,92,28036,5,442995,4480530,"16, 150"
2148,AV.RAFAELA YBARRA-DOLORES BARRANCO,Avda,de,Rafaela Ybarra,N,8,28026,12,439729,4470658,"6, 60, 81, N15"
2149,SAN MODESTO-HOSPITAL RAMON Y CAJAL,Calle,de,San Modesto,N,50,28034,8,441099,4482326,"125, 165, 166"
2150,GREGORIO SANCHEZ HERRAEZ-M40,Calle,de,Gregorio Sánchez Herráez,N,14,28033,16,446176,4481186,"87, N2"
2151,MANIZALES-ARACATACA,Calle,de,Manizales,N,1,28033,16,446114,4480714,87
2152,GRAN VIA HORTALEZA-GTA.SANDRO PERTINI,G.v.,de,Hortaleza,N,90,28043,16,445566,4480234,87
2153,SAN MARTIN DE PORRES-ARTESA DE SEGRE,Calle,de,San Martín de Porres,N,29,28035,9,438417,4480260,82
2154,MAR DE LAS ANTILLAS-SANTA SUSANA,Calle,del,Mar de las Antillas,S/N,S/N,28033,16,445230,4480992,9
2155,JOAQUIN COSTA-PZA.REP.ARGENTINA,Calle,de,Joaquín Costa,N,31,28002,5,441939,4477673,"7, C2"
2156,MIGUEL ANGEL Nº 11,Calle,de,Miguel Ángel,N,11,28010,7,441468,4476525,"7, 40, 147"
2157,JOAQUÍN COSTA-PZA.REP.ARGENTINA,Calle,de,Joaquín Costa,N,33,28002,5,442041,4477546,C2
2158,PZA.MANUEL BECERRA-DR. ESQUERDO,Plaza,de,Manuel Becerra,N,17,28009,4,443367,4475649,"56, 143, 156, C1"
