FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
02/05/2021;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES10;2-;209;96;82;56;46;77;123;154;238;377;498;598
02/05/2021;ES10;2=;667;666;628;517;480;570;571;528;527;482;511;358
02/05/2021;ES11;1-;1227;247;84;76;55;58;221;648;1013;1075;1729;2554
02/05/2021;ES11;1=;3612;4400;5063;4060;1695;2023;2932;3387;3064;2910;2553;2089
02/05/2021;ES11;2-;1631;424;118;93;55;54;103;367;600;917;1331;1006
02/05/2021;ES11;2=;2049;3013;1062;932;397;372;744;926;782;965;628;1390
02/05/2021;ES12;1-;147;171;109;97;137;287;301;445;759;1155;1586;1915
02/05/2021;ES12;1=;1805;2096;1599;1632;1926;1869;1817;1870;1767;1681;1149;235
02/05/2021;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES13;1-;112;86;83;66;73;162;191;256;346;520;803;1029
02/05/2021;ES13;1=;1248;1221;795;839;1157;1212;1143;1148;982;1013;658;137
02/05/2021;ES13;2-;153;110;105;67;71;171;177;266;394;580;810;1131
02/05/2021;ES13;2=;1366;1356;1040;1064;1237;1303;1379;1485;1133;1085;813;213
02/05/2021;ES14;1-;23;19;18;7;14;15;38;60;92;157;206;274
02/05/2021;ES14;1=;336;307;192;176;252;242;255;237;167;186;122;28
02/05/2021;ES14;2-;21;6;6;7;3;15;21;29;63;99;129;186
02/05/2021;ES14;2=;240;268;138;142;139;166;194;181;191;148;82;17
02/05/2021;ES15;1-;17;21;14;19;35;66;133;114;231;295;460;542
02/05/2021;ES15;1=;615;583;304;368;406;437;418;371;432;372;209;34
02/05/2021;ES15;2-;20;10;9;9;17;43;58;102;143;204;330;440
02/05/2021;ES15;2=;570;693;282;282;417;436;423;446;362;246;137;25
02/05/2021;ES16;1-;164;117;117;100;109;156;200;274;455;602;965;1169
02/05/2021;ES16;1=;1367;1226;834;965;1287;1229;1133;1138;1032;1154;807;187
02/05/2021;ES16;2-;118;90;91;53;55;136;164;214;341;520;766;995
02/05/2021;ES16;2=;1283;1218;757;735;974;1091;1173;1122;807;667;450;118
02/05/2021;ES17;1-;105;139;91;96;118;274;331;505;796;1264;1917;2442
02/05/2021;ES17;1=;2803;2701;1640;1667;2408;2637;2654;2574;1956;1589;986;223
02/05/2021;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES18;1-;49;14;28;18;26;34;79;124;198;344;531;683
02/05/2021;ES18;1=;814;752;443;361;463;589;537;530;362;313;202;58
02/05/2021;ES18;2-;43;26;16;18;26;33;52;80;170;292;472;686
02/05/2021;ES18;2=;845;740;573;510;758;659;695;653;551;458;337;69
02/05/2021;ES19;1-;91;85;75;67;69;125;155;209;332;450;567;711
02/05/2021;ES19;1=;777;793;509;522;595;656;657;613;510;448;425;132
02/05/2021;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES20;1-;4752;1503;502;393;227;227;369;1160;1534;2213;3199;5516
02/05/2021;ES20;1=;7793;9362;9921;8597;6251;6022;8189;8753;7859;7485;6962;6564
02/05/2021;ES20;2-;3976;937;361;292;205;273;693;1908;2566;2749;4197;6287
