ID,Lugar,MINTDISTRI,NOMBRE_DIS,MINTBARRIO,NOMBRE_BAR,ESTADO,INSTALLDAT,Direccion,"MINTNUMERO,C,25","MINTNDP,C,20","MODELO,C,254"
186568, C.P. FERNANDEZ MORATIN,9,MONCLOA-ARAVACA,91,CASA DE CAMPO,OPERATIVO,,AVENIDA DE  C.P. FERNANDEZ MORATIN,2,20016844,
186977, CENTRO DEPORTIVO MUNICIPAL JOSE MARIA CAGIGAL,9,MONCLOA-ARAVACA,91,CASA DE CAMPO,OPERATIVO,,CALLE DE  CENTRO DEPORTIVO MUNICIPAL JOSE MARIA CAGIGAL,4,11051984,
187018, CENTRO DEPORTIVO MUNICIPAL LA BOMBILLA,9,MONCLOA-ARAVACA,91,CASA DE CAMPO,OPERATIVO,,CALLE DE  CENTRO DEPORTIVO MUNICIPAL LA BOMBILLA,8,31026240,
190946, ESTACION DE CERCANIAS ARAVACA ( C/ DE LA GOLONDRINA 104),9,MONCLOA-ARAVACA,97,ARAVACA,OPERATIVO,,CALLE DE  ESTACION DE CERCANIAS ARAVACA ( C/ DE LA GOLONDRINA 104),104,31044466,
191467,Situado Aparcabicicletas ESTACIÓN DE CERCANÍAS ARAVACA ( C/ de la golondrina cv C/Rosas de Aravaca),9,MONCLOA-ARAVACA,97,ARAVACA,OPERATIVO,,CALLE DE Situado Aparcabicicletas ESTACIÓN DE CERCANÍAS ARAVACA ( C/ de la golondrina cv C/Rosas de Aravaca),104,31044466,
193973, GLORIETA DE ROCIO DURCAL,9,MONCLOA-ARAVACA,93,CIUDAD UNIVERSITARIA,OPERATIVO,,AVENIDA DE  GLORIETA DE ROCIO DURCAL,93,11053471,
194340, CENTRO CULTURAL JUAN GRIS,9,MONCLOA-ARAVACA,94,VALDEZARZA,OPERATIVO,,CALLE DE  CENTRO CULTURAL JUAN GRIS,100,11055490,
194451, C.P ANDRES MANJON,9,MONCLOA-ARAVACA,93,CIUDAD UNIVERSITARIA,OPERATIVO,,CALLE DE  C.P ANDRES MANJON,2,31012992,
196061, PUENTE DE SAN FERNANDO,9,MONCLOA-ARAVACA,93,CIUDAD UNIVERSITARIA,OPERATIVO,,CARRETERA DE  PUENTE DE SAN FERNANDO,19,31052037,
201810, ESTACION CERCANIAS EL BARRIAL,9,MONCLOA-ARAVACA,96,EL PLANTIO,OPERATIVO,,CALLE DE  ESTACION CERCANIAS EL BARRIAL,64,31023498,
205202, INSTALACION DEPORTIVA VEREDA DE GANAPANES,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,,CALLE DE  INSTALACION DEPORTIVA VEREDA DE GANAPANES,4,20097696,
205468, CENTRO EDUCACION PRIMARIA GUATEMALA,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,,CALLE DE  CENTRO EDUCACION PRIMARIA GUATEMALA,2,31022383,
205615, INSTALACION DEPORTIVA LA CABRERA,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,,CALLE DE  INSTALACION DEPORTIVA LA CABRERA,33,31044378,
205792, C.P FEDERICO GARCIA LORCA,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,,CALLE DE  C.P FEDERICO GARCIA LORCA,20,11046264,
