id_local,desc_distrito_local,desc_barrio_local,direccion,Cod_Postal,coordenada_x_local,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,min_ini_LJ_es,hora_fin_LJ_es 1,min_fin_LJ_es,hora_ini_LJ_ra,min_ini_LJ_ra,hora_fin_LJ_ra,min_fin_LJ_ra,hora_ini_VS_es,min_ini_VS_es,hora_fin_VS_es,min_fin_VS_es,hora_ini_VS_ra,min_ini_VS_ra,hora_fin_VS_ra,min_fin_VS_ra,mesas_es,mesas_ra
"200001508,SAN-BLAS-CANILLEJAS,SIMANCAS,49 CALLE VALDECANILLAS,28037,""446973,56"",""4475983,45"",Abierto,LA SEDE D'ANDRUBEN,Anual,Abierta,""45,22"",""45,22"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,14,14"
"270458555,USERA,MOSCARDO,14 CALLE EUGENIO CAXES,28026,""440325,58"",""4471467,52"",Abierto,""EL RINCON DE SIXTO,"",Anual,Abierta,""39,06"",""39,06"",Acera,10,0,1,0,10,0,0,0,10,0,1,30,10,0,0,0,11,20"
"270524837,USERA,MOSCARDO,137 CALLE ANTONIO LOPEZ,28026,""440615,58"",""4471127,52"",Abierto,BAR RESTAURANTE,Anual,Abierta,""31,35"",""31,35"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,6,6"
"270228855,USERA,MOSCARDO,39 CALLE MIRASIERRA,28026,""440269,58"",""4471097,52"",Abierto,BAR ALFIL,Estacional,Abierta,""32,61"",""32,4"",Acera,10,0,1,0,10,0,0,0,10,0,1,30,10,0,0,0,10,10"
"270157776,USERA,PRADOLONGO,50 CALLE DOLORES BARRANCO,28026,""439993,58"",""4470543,52"",Abierto,BAR PISCIS,Anual,Abierta,""20,77"",""20,77"",Acera,10,0,0,0,10,0,0,0,10,0,1,30,10,0,0,0,10,10"
"270438751,USERA,MOSCARDO,131 CALLE ANTONIO LOPEZ,28026,""440593,58"",""4471152,52"",Abierto,LA ALEGRIA,Anual,Abierta,""20,52"",""20,52"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,5,5"
"270490968,USERA,ALMENDRALES,21 CALLE CRISTO DE LA VICTORIA,28026,""440484,57"",""4470338,52"",Abierto,BAR CLEMENTE,Estacional,Abierta,""16,38"",,Acera,10,0,1,0,,,,,10,0,2,30,,,,,7,0"
"270477281,USERA,SAN-FERMIN,27 CALLE SAN FORTUNATO,28041,""441484,56"",""4469450,51"",Abierto,CAFE BAR MARTIN,Anual,Abierta,""15,84"",""15,84"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,6,6"
"270309378,ARGANZUELA,ACACIAS,3 PASEO ACACIAS,28005,""440297,59"",""4472901,53"",Abierto,CAFETERIA HINOJAR,Anual,Abierta,""18,9"",""18,9"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,10,0"
"285031450,VILLAVERDE,SAN-ANDRES,1 CALLE BERZOSA DE LOZOYA,28021,""439207,53"",""4465219,52"",Abierto,DON GERMAN,Anual,Abierta,""50,86"",""50,86"",Acera,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,12,12"
"170000809,VILLAVERDE,BUTARQUE,3 CALLE CANCHAL,28021,""442621,52"",""4466379,49"",Abierto,RESTAURANTE PARQUE ROSALES CERVECERIA,Anual,Abierta,""55,43"",""44,1"",Acera,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,21,12"
"285021312,USERA,MOSCARDO,212 AVENIDA MANZANARES,28026,""440579,58"",""4471302,52"",Abierto,EL BAR,Anual,Abierta,""8,47"",""8,47"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,5,5"
