Identificador,Gis_X,Gis_Y,Fecha de Alta,Distrito,Barrio,Nº Finca,Tipo de Reserva,Puestos,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Línea / Batería,LongitudP,Horario
03.22,"442997,1200000000","4474732,3600000000",40360,03  RETIRO,03-04 IBIZA,48,Taxi,4,40.4212686,-3.6719411,"O'DONNELL, CALLE, DE, 48",,,,,Línea,"21,00",
03.25,"443237,1200000000","4473802,6600000000",39941,03  RETIRO,03-03 ESTRELLA,3,Taxi,4,40.4129098,-3.6690292,"PEZ VOLADOR, CALLE, DEL, 3",,,,,Línea,"20,00",
03.26,"442911,3200000000","4474549,1900000000",40283,03  RETIRO,03-04 IBIZA,7,Taxi,3,40.4196127,-3.672936,"MAIQUEZ, CALLE, DE, 7",,,,,Línea,"15,00",
03.27,"442385,7300000000","4474560,1100000000",40477,03  RETIRO,03-04 IBIZA,19,Taxi,2,40.4196748,-3.679132,"MENENDEZ PELAYO, AVENIDA, DE, 19",,,,,Línea,"11,00",
03.28,"443234,8200000000","4474346,0300000000",44176,03  RETIRO,03-03 ESTRELLA,83,Taxi,9,40.4178046,-3.6691048,"DOCTOR ESQUERDO, CALLE, DEL, 83",,,,,Línea,"45,00",
03.32,"441269,2100000000","4474067,3200000000",41457,03  RETIRO,03-05 JERÓNIMOS,1,Taxi,4,40.4151575,-3.6922466,"FELIPE IV, CALLE, DE, 1",,,,,Línea,"20,00",DE 10:00 A 20:00 H
03.33,"443208,2200000000","4473131,6300000000",39645,03  RETIRO,03-03 ESTRELLA,43,Taxi,7,40.4068628,-3.66931,"MEDITERRANEO, AVENIDA, DEL, 43",,,,,Línea,"37,00",
03.35,"443203,1300000000","4474598,1900000000",42209,03  RETIRO,03-04 IBIZA,51,Taxi,5,40.4200741,-3.6695009,"DOCTOR CASTELO, CALLE, DEL, 51",,,,,Línea,"25,00",
03.36,"441222,6100000000","4474442,7500000000",43455,01  CENTRO,01-03 CORTES,1,Taxi,4,40.4185362,-3.6928306,"PRADO, PASEO, DEL, 1",,,,,Línea,"20,00",
03.37,"442403,1100000000","4474406,7700000000",44145,03  RETIRO,03-05 JERÓNIMOS,10,Taxi,6,40.4182947,-3.6789133,"MENENDEZ PELAYO, AVENIDA, DE, 10",,,,,Línea,"30,00",VIERNES DESDE LAS 20 H. HASTA EL DOMINGO A LAS 20 H.
04.01,"443279,2700000000","4474958,2100000000",43685,04  SALAMANCA,04-03 FUENTE DEL BERRO,47,Taxi,2,40.4233225,-3.6686355,"DOCTOR ESQUERDO, CALLE, DEL, 47",,,,,Línea,"10,00",
04.02,"442587,1600000000","4475142,2300000000",35403,04  SALAMANCA,04-02 GOYA,87,Taxi,8,40.4249328,-3.6768103,"GOYA, CALLE, DE, 87",,,,,Línea,"39,80",
04.03,"441863,6600000000","4476310,4300000000",43621,04  SALAMANCA,04-06 CASTELLANA,139,Taxi,3,40.4354063,-3.6854456,"CLAUDIO COELLO, CALLE, DE, 139",,,,,Línea,"15,10",
04.04,"442538,8600000000","4475999,1900000000",42023,04  SALAMANCA,04-05 LISTA,41,Taxi,9,40.4326494,-3.6774572,"JUAN BRAVO, CALLE, DE, 41",,,,,Línea,"45,00",
04.05,"442649,3600000000","4475991,1700000000",44179,04  SALAMANCA,04-05 LISTA,49 A,Taxi,8,40.4325848,-3.6761537,"JUAN BRAVO, CALLE, DE, 49 A",,,,,Línea,"37,80",
04.06,"443225,3400000000","4475488,5400000000",39067,04  SALAMANCA,04-02 GOYA,4,Taxi,4,40.4280963,-3.6693186,"MANUEL BECERRA, PLAZA, DE, 4",,,,,Línea,"19,19",
04.07,"441507,7600000000","4475231,7100000000",38803,04  SALAMANCA,04-01 RECOLETOS,1,Taxi,4,40.4256637,-3.6895422,"GOYA, CALLE, DE, 1",,,,,Línea,"20,00",
04.08,"442118,2700000000","4475174,5200000000",43288,04  SALAMANCA,04-01 RECOLETOS,47,Taxi,2,40.4251912,-3.6823404,"GOYA, CALLE, DE, 47",,,,,Línea,"10,00",DE 10:00 A.M A 08:00 A.M.
04.09,"442355,7100000000","4475159,1800000000",37168,04  SALAMANCA,04-02 GOYA,67,Taxi,4,40.4250695,-3.6795401,"GOYA, CALLE, DE, 67",,,,,Línea,"20,54",
04.10,"442060,4300000000","4475746,4400000000",38322,04  SALAMANCA,04-06 CASTELLANA,29,Taxi,9,40.4303393,-3.6830743,"JOSE ORTEGA Y GASSET, CALLE, DE, 29",,,,,Línea,"45,00",
04.12,"441833,2900000000","4475196,6400000000",42021,04  SALAMANCA,04-01 RECOLETOS,25,Taxi,5,40.4253706,-3.6857017,"GOYA, CALLE, DE, 25",,,,,Línea,"28,00",
04.13,"442012,6900000000","4475181,9900000000",42021,04  SALAMANCA,04-01 RECOLETOS,37,Taxi,7,40.4252511,-3.6835856,"GOYA, CALLE, DE, 37",,,,,Línea,"35,00",
04.14,"442224,7500000000","4475168,8600000000",42033,04  SALAMANCA,04-01 RECOLETOS,57,Taxi,5,40.4251476,-3.6810847,"GOYA, CALLE, DE, 57",,,,,Línea,"25,00",
04.15 a,"442457,9100000000","4475151,9100000000",36725,04  SALAMANCA,04-02 GOYA,77,Taxi,4,40.4250111,-3.6783348,"GOYA, CALLE, DE, 77",,,,,Línea,"20,90",
