CODIGO,DESCRIPCION,SameAs_Wikidata_DESCRIPCION,LATITUD,LONGITUD,DIRECCION,C.P.,POBLACION,SameAs_Wikidata_POBLACION,PROVINCIA,SameAs_Wikidata_PROVINCIA,Fichas
12005,Tablada station,https://wikidata.org/entity/Q5847304,"40,706598","-4,067179","PASEO PEDRO GUTIERREZ, S/N",28460,Los Molinos,https://wikidata.org/entity/Q963615,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion12005.pdf
12006,Cercedilla train station,https://wikidata.org/entity/Q5846025,"40,737516","-4,066481","CALLE EMILIO SERRANO, 30",28470,Cercedilla,https://wikidata.org/entity/Q1646215,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion12006.pdf
12020,Puerto de Navacerrada train station,https://wikidata.org/entity/Q5846997,"40,784445","-4,004772","CALLE VITORIA, 1",28470,Cercedilla,https://wikidata.org/entity/Q1646215,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion12020.pdf
17004,Tres Cantos Station,https://wikidata.org/entity/Q5847364,"40,598596","-3,7156","PLAZA ESTACION FERROCARRIL, 1",28760,Tres Cantos,https://wikidata.org/entity/Q910410,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion17004.pdf
17005,Colmenar Viejo train station,https://wikidata.org/entity/Q5846073,"40,645211","-3,776617","AVENIDA DE LA LIBERTAD, S/N",28770,Colmenar Viejo,https://wikidata.org/entity/Q55480,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion17005.pdf
70111,La Garena train station,https://wikidata.org/entity/Q584442,"40,4807624","-3,3919677","CALLE FAUSTO ELHUYAR, S/N",28806,Alcalá de Henares,https://wikidata.org/entity/Q46940,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion70111.pdf
70103,Alcalá de Henares railway station,https://wikidata.org/entity/Q530417,"40,488976","-3,3664702","PASEO ESTACION FERROCARRIL, S/N",28807,Alcalá de Henares,https://wikidata.org/entity/Q46940,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion70103.pdf
70107,Alcalá de Henares Universidad railway station,https://wikidata.org/entity/Q9144626,"40,5054503","-3,3353684","CARRETERA CAMPUS UNIVERSITARIO DE ALCALA, S/N",28807,Alcalá de Henares,https://wikidata.org/entity/Q46940,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion70107.pdf
70101,San Fernando,https://wikidata.org/entity/Q2058644,"40,4424319","-3,5342411","AVENIDA DE SAN PABLO, S/N",28830,San Fernando de Henares,https://wikidata.org/entity/Q842211,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion70101.pdf
70102,Torrejón de Ardoz train station,https://wikidata.org/entity/Q509020,"40,4547456","-3,4797065","PLAZA ESTACION FERROCARRIL, S/N",28850,Quelzaquetenago,https://wikidata.org/entity/Q489839,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion70102.pdf
70112,Soto del Henares,https://wikidata.org/entity/Q5847280,"40,464383","-3,440614","AVENIDA JORGE OTEIZA, S/N",28850,Quelzaquetenago,https://wikidata.org/entity/Q489839,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion70112.pdf
70104,Q5846698,https://wikidata.org/entity/Q5846698,"40,534668","-3,2985719","CARRETERA ESTACION FERROCARRIL, S/N",28880,Meco,https://wikidata.org/entity/Q1646210,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion70104.pdf
37011,Getafe Sector 3 train station,https://wikidata.org/entity/Q5846299,"40,288252","-3,737529","CAMINO VIEJO DE TOLEDO, S/N",28901,Getafe,https://wikidata.org/entity/Q8802,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion37011.pdf
37002,Getafe Central,https://wikidata.org/entity/Q2485075,"40,309974","-3,733989","PASEO ESTACION FERROCARRIL, S/N",28902,Getafe,https://wikidata.org/entity/Q8802,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion37002.pdf
37010,Las Margaritas Universidad,https://wikidata.org/entity/Q2640301,"40,323041","-3,727278","CALLE MADRID, 155",28903,Getafe,https://wikidata.org/entity/Q8802,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion37010.pdf
60102,Getafe Industrial train station,https://wikidata.org/entity/Q5846298,"40,3055338","-3,7073714","AVENIDA DE LOS ANGELES, S/N",28903,Getafe,https://wikidata.org/entity/Q8802,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion60102.pdf
60109,El Casar,https://wikidata.org/entity/Q2778422,"40,3184029","-3,7092335","AVENIDA DEL CASAR, S/N",28903,Getafe,https://wikidata.org/entity/Q8802,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion60109.pdf
35001,Leganés,https://wikidata.org/entity/Q2778424,"40,328633","-3,771162","CALLE VIRGEN DEL CAMINO, 2",28911,Leganés,https://wikidata.org/entity/Q77433,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35001.pdf
35011,Parque Polvoranca,https://wikidata.org/entity/Q2883144,"40,312544","-3,783546","CALLE ARGANDA DEL REY, 6",28914,Leganés,https://wikidata.org/entity/Q77433,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35011.pdf
35009,Estación de Zarzaquemada,https://wikidata.org/entity/Q5847559,"40,3409732","-3,7482259","CALLE DEL RONCAL, 7",28915,Leganés,https://wikidata.org/entity/Q77433,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35009.pdf
35605,Alcorcón,https://wikidata.org/entity/Q3585564,"40,350199","-3,831678","AVENIDA DE MOSTOLES, 4",28922,Alcorcón,https://wikidata.org/entity/Q10372,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35605.pdf
35610,Estación de Las Retamas,https://wikidata.org/entity/Q5846572,"40,341869","-3,842311","AVENIDA DE MOSTOLES, S/N",28922,Alcorcón,https://wikidata.org/entity/Q10372,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35610.pdf
35604,Estación de San José de Valderas,https://wikidata.org/entity/Q5847135,"40,356574","-3,815577","AVENIDA DE LISBOA, S/N",28924,Alcorcón,https://wikidata.org/entity/Q10372,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35604.pdf
35606,Móstoles,https://wikidata.org/entity/Q684862,"40,328724","-3,863478","PASEO DE GOYA, S/N",28932,Móstoles,https://wikidata.org/entity/Q187826,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35606.pdf
35607,Móstoles-El Soto railway station,https://wikidata.org/entity/Q5846791,"40,330971","-3,882441","CALLE GRANADA, 10",28935,Móstoles,https://wikidata.org/entity/Q187826,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35607.pdf
35002,Fuenlabrada Central,https://wikidata.org/entity/Q2486901,"40,283135","-3,799565","PASEO DE ROMA, 1",28944,Fuenlabrada,https://wikidata.org/entity/Q54902,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35002.pdf
