ID,Gis_X,Gis_Y,FechadeAlta,Distrito,SameAs_Wikidata_Distrito,Barrio,SameAs_Wikidata_Barrio,NFinca,TipodeReserva,SameAs_Wikidata_TipodeReserva,NumerodePlazas,Longitud,Latitud,Direccion
82,"443177,93","4473311,29",41813,Retiro,https://wikidata.org/entity/Q2002296,Estrella,https://wikidata.org/entity/Q3773738,2,BiciMAD,https://wikidata.org/entity/Q17402113,24,-3.669.683,404.084.793,"LIRA, CALLE, DE LA, frente 2"
83,"442770,38","4473844,96",41813,Retiro,https://wikidata.org/entity/Q2002296,Niño Jesús,https://wikidata.org/entity/Q3773746,8.1,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.745.339,404.132.589,"PIO BAROJA, CALLE, DE, 8 B"
84,"442918,27","4472746,05",41813,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001,191,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.726.923,404.033.695,"DOCTOR ESQUERDO, CALLE, DEL, 191"
85,"442319,29","4474723,43",41813,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,9,BiciMAD,https://wikidata.org/entity/Q17402113,27,-36.799.299,404.211.415,"MENENDEZ PELAYO, AVENIDA, DE, frente 9"
86,"441180,29","4474447,71",41904,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,S/N,BiciMAD,https://wikidata.org/entity/Q17402113,21,-36.933.298,404.185.779,"PRADO, PASEO, DEL, S/N"
87,"442016,68","4475450,66",41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,44,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.835.631,404.276.717,"AYALA, CALLE, DE, 44"
88,"442004,11","4475843,28",41813,Salamanca,https://wikidata.org/entity/Q1773521,Castellana,https://wikidata.org/entity/Q4781,73,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.837.471,404.312.077,"VELAZQUEZ, CALLE, DE, 73"
89,"442728,15","4475399,8",41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,102,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.751.716,404.272.628,"AYALA, CALLE, DE, 102"
90,"442000,33","4475163,96",41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,18,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.837.297,404.250.878,"GOYA, CALLE, DE, 18"
90.1,"442014,61","4475162,88",43115,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,20,BiciMAD,https://wikidata.org/entity/Q17402113,6,-36.835.613,404.250.791,"GOYA, CALLE, DE, 20"
