StationNumber,GisID,Gis_X,Gis_Y,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,Address,Capacity,CoordinatesID,Longitude,Latitude
145,145,"443050,11","4475675,85",145,4,SALAMANCA,45,LISTA,-CALLEDE-JOSE-ORTEGA-Y-GASSET-87,24,145,-3.671401,40.4297717
146,146,"442435,7","4477286,68",146,5,CHAMARTÍN,51,EL-VISO-,-CALLEDE-MARIA-FRANCISCA-1,18,146,-3.67879,40.4442406
147,147,"442372,1","4477741,71",147,5,CHAMARTÍN,51,EL-VISO-,-AVENIDADEL-DOCTOR-ARCE-45,24,147,-3.6795811,40.4483353
148,148,"442194,78","4478041,13",148,5,CHAMARTÍN,51,EL-VISO-,-CALLEDE-SERRANO-210,24,148,-3.6816993,40.4510203
149,149,"441672,11","4477914,69",149,5,CHAMARTÍN,51,EL-VISO-,-PASEODE-LA-HABANA-42,24,149,-3.6878512,40.4498448
150,150,"441443,38","4477835,19",150,5,CHAMARTÍN,51,EL-VISO-,-PASEODE-LA-CASTELLANA-,24,150,-3.690541,40.4491125
151,151,"441047,89","4477810,45",151,6,TETUÁN,62,CUATRO-CAMINOS-,-CALLEDE-ORENSE-10,24,151,-3.6952023,40.4488617
152,152,"440733,5","4478240,82",152,6,TETUÁN,62,CUATRO-CAMINOS-,-AVENIDADEL-GENERAL-PERON-4,24,152,-3.6989497,40.4527163
153,153,"441230,1","4478196,25",153,6,TETUÁN,62,CUATRO-CAMINOS-,-AVENIDADEL-GENERAL-PERON-36,24,153,-3.6930894,40.45235
154,154,"441097,89","4478466,69",154,6,TETUÁN,62,CUATRO-CAMINOS-,-CALLEDE-ORENSE-36,24,154,-3.6946736,40.4547769
155,155,"440575,2","4478749,38",155,6,TETUÁN,62,CUATRO-CAMINOS-,-CALLEDE-SAN-GERMÁN-55,24,155,-3.700864,40.4572863
156,156,"441385,88","4478959,93",156,6,TETUÁN,63,CASTILLEJOS,-CALLEDE-SOR-ANGELA-DE-LA-CRUZ-2,24,156,-3.6913229,40.4592406
157,157,"441554,84","4478963,2",157,5,CHAMARTÍN,55,NUEVA-ESPAÑA-,-PASEODE-LA-CASTELLANA-,24,157,-3.6893305,40.459282
158,158,"441946,46","4478886,67",158,5,CHAMARTÍN,54,HISPANOAMÉRICA,-AVENIDADE-ALBERTO-ALCOCER-22-A,24,158,-3.6847049,40.45862
159,159,"442024,96","4478401,51",159,5,CHAMARTÍN,54,HISPANOAMÉRICA,-PASEODE-LA-HABANA-63,24,159,-3.6837348,40.4542549
160,160,"442630,95","4478723,71",160,5,CHAMARTÍN,54,HISPANOAMÉRICA,-CALLEDE-COLOMBIA-7,24,160,-3.6766176,40.4571995
161,161,"438745,93","4474862,31",161,9,MONCLOA-ARAVACA,91,CASA-DE-CAMPO,-PASEODE-LA-FLORIDA-8,24,161,-3.7220624,40.4221372
161ampliacion,161ampliacion,"438754,04","4474853,3",161ampliacion,9,MONCLOA-ARAVACA,91,CASA-DE-CAMPO,-PASEODE-LA-FLORIDA-6,3,161ampliacion,-3.7219659,40.4220566
162,162,"439688,47","4472787,76",162,2,ARGANZUELA,22,ACACIAS,-PASEODE-LOS-OLMOS-28,24,162,-3.7107559,40.4035176
163,163,"440055,04","4472797,85",163,2,ARGANZUELA,22,ACACIAS,-PASEODE-LA-ESPERANZA-,21,163,-3.7064372,40.4036349
164,164,"441063,58","4472068,5",164,2,ARGANZUELA,25,DELICIAS,-PASEODE-LAS-DELICIAS-94,24,164,-3.6944851,40.3971366
165,165,"440794,37","4471598,57",165,2,ARGANZUELA,23,CHOPERA,-PASEODE-LA-CHOPERA-49,27,165,-3.6976134,40.3928841
166,166,"439478,68","4473946,37",166,1,CENTRO,11,PALACIO,-CALLEDE-SEGOVIA-21,24,166,-3.7133382,40.4139396
167,167,"439113,04","4473926,4",167,2,ARGANZUELA,21,IMPERIAL,-CALLEDE-SEGOVIA-47-A,24,167,-3.7176456,40.4137331
