Identifier,Description,DistrictCode,DistrictName,same_as_wikidata_distrito,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address,same_as_wikidata_calle,Housenumber
178375,SITUADO-APARCABICICLETAS-CENTRO-CULTURAL-JOSE-LUIS-SAMPREDO,10,Latina,https://wikidata.org/entity/Q794954,103,Lucero,https://wikidata.org/entity/Q31162,OPERATIVO,"CALLE CASTROSERNA,4",,4
179215,SITUADO-APARCABICICLETAS-CENTRO-CONCERTADO-COLEGIO-LOURDES,10,Latina,https://wikidata.org/entity/Q794954,103,Lucero,https://wikidata.org/entity/Q31162,OPERATIVO,"CALLE SAN ROBERTO,8",,8
179635,SITUADO-APARCABICICLETAS-C/SAN-LEON-3,10,Latina,https://wikidata.org/entity/Q794954,103,Lucero,https://wikidata.org/entity/Q31162,OPERATIVO,"CALLE SAN JUAN DE MATA,21",,21
181120,SITUADO-APARCABICICLETAS-C.P-SAN-JOSE-DE-CALASANZ,10,Latina,https://wikidata.org/entity/Q794954,102,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,OPERATIVO,"CALLE MARIA DEL CARMEN,62",,62
181202,SITUADO-APARCABICICLETAS-CENTRO-COMERCIAL-LA-ERMITA,10,Latina,https://wikidata.org/entity/Q794954,101,Los Cármenes,https://wikidata.org/entity/Q10319792,OPERATIVO,Paseo de la Ermita del Santo,https://wikidata.org/entity/Q28137105,66
182236,SITUADO-APARCABICICLETAS-COLEGIO-PUBLICO-BOLIVIA,10,Latina,https://wikidata.org/entity/Q794954,103,Lucero,https://wikidata.org/entity/Q31162,OPERATIVO,"CALLE VILLAVALIENTE,29",,29
182617,SITUADO-APARCABICICLETAS-COLEGIO-DIVINO-MAESTRO,10,Latina,https://wikidata.org/entity/Q794954,103,Lucero,https://wikidata.org/entity/Q31162,OPERATIVO,Paseo de Extremadura,https://wikidata.org/entity/Q6065619,165
182945,Situado-Aparcabicicletas-FRENTE-AL-PARQUE-CARAMUEL-(Cerca-de-la-cancha),10,Latina,https://wikidata.org/entity/Q794954,102,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,OPERATIVO,"CALLE CARAMUEL,58",,58
184345,SITUADO-APARCABICICLETAS-SALA-DE-LECTURA-JUNTA-MUNICIPAL-DE-LATINA,10,Latina,https://wikidata.org/entity/Q794954,102,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,OPERATIVO,Paseo de Extremadura,https://wikidata.org/entity/Q6065619,128
186568,SITUADO-APARCABICICLETAS-C.P.-FERNANDEZ-MORATIN,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,91,Casa de Campo,https://wikidata.org/entity/Q16302441,OPERATIVO,"Avenida de Valladolid, Madrid",https://wikidata.org/entity/Q29903461,2
